SitID	HorID	Pick	Quality
102496	1000	321	1
102496	2000	        	-1
102496	3000	        	-1
102496	4000	        	-1
102496	5000	438	2
102496	6000	        	-1
102496	7000	458	3
102496	9000	468	3
102496	9500	468	3
102496	10000	471.5	3
102496	11000	475	3
102496	12000	475	3
102496	13000	475	3
102496	14000	561	1
102497	1000	354	1
102497	2000	        	-1
102497	3000	        	-1
102497	4000	        	-1
102497	5000	477	1
102497	6000	        	-1
102497	7000	499.5	3
102497	9000	502.5	3
102497	9500	502.5	3
102497	10000	511.5	3
102497	11000	515	3
102497	12000	515	3
102497	13000	515	3
102497	14000	604.5	1
102498	1000	317.5	1
102498	2000	        	-1
102498	3000	        	-1
102498	4000	        	-1
102498	5000	442	1
102498	6000	        	-1
102498	7000	464	3
102498	9000	469	3
102498	9500	469	3
102498	10000	475	3
102498	11000	480	3
102498	12000	480	3
102498	13000	480	3
102498	14000	564	1
102500	1000	384	1
102500	2000	        	-1
102500	3000	        	-1
102500	4000	        	-1
102500	5000	509	1
102500	6000	        	-1
102500	7000	536	3
102500	9000	539	3
102500	9500	539	3
102500	10000	545	3
102500	11000	549	3
102500	12000	549	3
102500	13000	549	3
102500	14000	636.5	1
102501	1000	367.5	1
102501	2000	        	-1
102501	3000	        	-1
102501	4000	        	-1
102501	5000	489.5	1
102501	6000	        	-1
102501	7000	515	3
102501	9000	520	3
102501	9500	520	3
102501	10000	525.5	3
102501	11000	529	2
102501	12000	529	2
102501	13000	529	2
102501	14000	613	1
102503	1000	335.5	1
102503	2000	        	-1
102503	3000	        	-1
102503	4000	        	-1
102503	5000	449.5	1
102503	6000	        	-1
102503	7000	473	3
102503	9000	475	3
102503	9500	475	3
102503	10000	486	3
102503	11000	488.5	2
102503	12000	488.5	2
102503	13000	488.5	2
102503	14000	553.5	1
102505	1000	350.5	1
102505	2000	        	-1
102505	3000	        	-1
102505	4000	        	-1
102505	5000	464	1
102505	6000	        	-1
102505	7000	487.5	3
102505	9000	489	3
102505	9500	489	3
102505	10000	496	3
102505	11000	501.5	2
102505	12000	501.5	2
102505	13000	501.5	2
102505	14000	572.5	1
102507	1000	386	1
102507	2000	        	-1
102507	3000	        	-1
102507	4000	        	-1
102507	5000	506	1
102507	6000	        	-1
102507	7000	539.5	3
102507	9000	545	3
102507	9500	545	3
102507	10000	549	3
102507	11000	553.5	2
102507	12000	553.5	2
102507	13000	553.5	2
102507	14000	606.5	1
102514	1000	339.5	1
102514	2000	        	-1
102514	3000	        	-1
102514	4000	        	-1
102514	5000	454.5	1
102514	6000	        	-1
102514	7000	483	3
102514	9000	486	3
102514	9500	486	3
102514	10000	491	3
102514	11000	493.5	3
102514	12000	493.5	3
102514	13000	493.5	3
102514	14000	558	1
102517	1000	378	1
102517	2000	        	-1
102517	3000	        	-1
102517	4000	        	-1
102517	5000	495.5	1
102517	6000	        	-1
102517	7000	523	3
102517	9000	527.5	3
102517	9500	527.5	3
102517	10000	532.5	3
102517	11000	536.5	2
102517	12000	536.5	2
102517	13000	536.5	2
102517	14000	615	1
102518	1000	372.5	1
102518	2000	        	-1
102518	3000	        	-1
102518	4000	        	-1
102518	5000	488	1
102518	6000	        	-1
102518	7000	511	3
102518	9000	513	3
102518	9500	513	3
102518	10000	516	3
102518	11000	528	1
102518	12000	528	1
102518	13000	528	1
102518	14000	588.5	1
102565	1000	365.5	1
102565	2000	        	-1
102565	3000	        	-1
102565	4000	        	-1
102565	5000	473.5	1
102565	6000	        	-1
102565	7000	497.5	2
102565	9000	504	3
102565	9500	504	3
102565	10000	510	3
102565	11000	514	1
102565	12000	514	1
102565	13000	514	1
102565	14000	568.5	1
102577	1000	329.5	1
102577	2000	        	-1
102577	3000	        	-1
102577	4000	        	-1
102577	5000	448	1
102577	6000	        	-1
102577	7000	475	3
102577	9000	478	3
102577	9500	478	3
102577	10000	483	3
102577	11000	487.5	1
102577	12000	487.5	1
102577	13000	487.5	1
102577	14000	552	1
102581	1000	351	1
102581	2000	        	-1
102581	3000	        	-1
102581	4000	        	-1
102581	5000	469	1
102581	6000	        	-1
102581	7000	497	3
102581	9000	500.5	3
102581	9500	500.5	3
102581	10000	505	3
102581	11000	509	1
102581	12000	509	1
102581	13000	509	1
102581	14000	570	1
102583	1000	336	1
102583	2000	        	-1
102583	3000	        	-1
102583	4000	        	-1
102583	5000	446	1
102583	6000	        	-1
102583	7000	479	1
102583	9000	        	0
102583	9500	        	0
102583	10000	483	1
102583	11000	487	2
102583	12000	487	2
102583	13000	487	2
102583	14000	543.5	1
102589	1000	333	1
102589	2000	        	-1
102589	3000	        	-1
102589	4000	        	-1
102589	5000	448	1
102589	6000	        	-1
102589	7000	471	1
102589	9000	478	3
102589	9500	478	3
102589	10000	482	2
102589	11000	486	1
102589	12000	486	1
102589	13000	486	1
102589	14000	540	1
102592	1000	337.5	1
102592	2000	        	-1
102592	3000	        	-1
102592	4000	        	-1
102592	5000	454.5	1
102592	6000	        	-1
102592	7000	480	2
102592	9000	484	3
102592	9500	484	3
102592	10000	486.5	2
102592	11000	490.5	1
102592	12000	490.5	1
102592	13000	490.5	1
102592	14000	557.5	1
102596	1000	329	1
102596	2000	        	-1
102596	3000	        	-1
102596	4000	        	-1
102596	5000	448	1
102596	6000	        	-1
102596	7000	471	2
102596	9000	475.5	3
102596	9500	475.5	3
102596	10000	478	2
102596	11000	481	1
102596	12000	481	1
102596	13000	481	1
102596	14000	533.5	1
102597	1000	326	1
102597	2000	        	-1
102597	3000	        	-1
102597	4000	        	-1
102597	5000	439	1
102597	6000	        	-1
102597	7000	        	0
102597	9000	        	0
102597	9500	        	0
102597	10000	        	0
102597	11000	        	0
102597	12000	        	0
102597	13000	503	2
102597	14000	531.5	1
102606	1000	339	1
102606	2000	        	-1
102606	3000	        	-1
102606	4000	        	-1
102606	5000	456	1
102606	6000	        	-1
102606	7000	483.5	2
102606	9000	        	0
102606	9500	        	0
102606	10000	486.5	2
102606	11000	492	3
102606	12000	492	3
102606	13000	492	3
102606	14000	533	1
102609	1000	342.5	1
102609	2000	        	-1
102609	3000	        	-1
102609	4000	        	-1
102609	5000	460	1
102609	6000	        	-1
102609	7000	480	1
102609	9000	487	3
102609	9500	487	3
102609	10000	490	2
102609	11000	493	2
102609	12000	493	2
102609	13000	493	2
102609	14000	543	1
102610	1000	322	1
102610	2000	        	-1
102610	3000	        	-1
102610	4000	        	-1
102610	5000	439.5	1
102610	6000	        	-1
102610	7000	456	3
102610	9000	458.5	3
102610	9500	458.5	3
102610	10000	461	2
102610	11000	473	1
102610	12000	473	1
102610	13000	473	1
102610	14000	537	1
102611	1000	340	1
102611	2000	        	-1
102611	3000	        	-1
102611	4000	        	-1
102611	5000	458	1
102611	6000	        	-1
102611	7000	474	1
102611	9000	481	3
102611	9500	481	3
102611	10000	486	3
102611	11000	493	2
102611	12000	493	2
102611	13000	493	2
102611	14000	544	1
102614	1000	334	1
102614	2000	        	-1
102614	3000	        	-1
102614	4000	        	-1
102614	5000	454	1
102614	6000	        	-1
102614	7000	474	1
102614	9000	480.5	3
102614	9500	480.5	3
102614	10000	484	2
102614	11000	487	1
102614	12000	487	1
102614	13000	487	1
102614	14000	535	2
102615	1000	372	1
102615	2000	        	-1
102615	3000	        	-1
102615	4000	        	-1
102615	5000	493	1
102615	6000	        	-1
102615	7000	512	1
102615	9000	518.5	3
102615	9500	518.5	3
102615	10000	524.5	2
102615	11000	526	3
102615	12000	526	3
102615	13000	526	3
102615	14000	592	1
102619	1000	315	1
102619	2000	        	-1
102619	3000	        	-1
102619	4000	        	-1
102619	5000	431	1
102619	6000	        	-1
102619	7000	451	3
102619	9000	454	3
102619	9500	454	3
102619	10000	465	3
102619	11000	469	1
102619	12000	469	1
102619	13000	469	1
102619	14000	534	2
102620	1000	345	1
102620	2000	        	-1
102620	3000	        	-1
102620	4000	        	-1
102620	5000	464	1
102620	6000	        	-1
102620	7000	481	2
102620	9000	486	3
102620	9500	486	3
102620	10000	491	3
102620	11000	494	1
102620	12000	494	1
102620	13000	494	1
102620	14000	555	2
102626	1000	344	1
102626	2000	        	-1
102626	3000	        	-1
102626	4000	        	-1
102626	5000	461	1
102626	6000	        	-1
102626	7000	481.5	1
102626	9000	489	3
102626	9500	489	3
102626	10000	493.5	3
102626	11000	497	1
102626	12000	497	1
102626	13000	497	1
102626	14000	560.5	1
102630	1000	375	1
102630	2000	        	-1
102630	3000	        	-1
102630	4000	        	-1
102630	5000	496.5	1
102630	6000	        	-1
102630	7000	516.5	1
102630	9000	523	3
102630	9500	523	3
102630	10000	527.5	2
102630	11000	531	3
102630	12000	531	3
102630	13000	531	3
102630	14000	562	4
102633	1000	291.5	1
102633	2000	        	-1
102633	3000	        	-1
102633	4000	        	-1
102633	5000	408	1
102633	6000	        	-1
102633	7000	427.5	1
102633	9000	436	3
102633	9500	436	3
102633	10000	442	2
102633	11000	446.5	3
102633	12000	446.5	3
102633	13000	446.5	3
102633	14000	473	1
102640	1000	331	1
102640	2000	        	-1
102640	3000	        	-1
102640	4000	        	-1
102640	5000	452.5	1
102640	6000	        	-1
102640	7000	473	2
102640	9000	478.5	3
102640	9500	478.5	3
102640	10000	484	3
102640	11000	488	3
102640	12000	488	3
102640	13000	488	3
102640	14000	521.5	1
102656	1000	314	1
102656	2000	        	-1
102656	3000	        	-1
102656	4000	        	-1
102656	5000	434	2
102656	6000	        	-1
102656	7000	456	2
102656	9000	462.5	3
102656	9500	462.5	3
102656	10000	469	2
102656	11000	473.5	3
102656	12000	473.5	3
102656	13000	473.5	3
102656	14000	498	4
102661	1000	311	1
102661	2000	        	-1
102661	3000	        	-1
102661	4000	        	-1
102661	5000	431	1
102661	6000	        	-1
102661	7000	453	2
102661	9000	458	3
102661	9500	458	3
102661	10000	463.5	2
102661	11000	468	3
102661	12000	468	3
102661	13000	468	3
102661	14000	499	4
102666	1000	289.56	1
102666	2000	        	-1
102666	3000	        	-1
102666	4000	        	-1
102666	5000	414.53	2
102666	6000	        	-1
102666	7000	435.25	1
102666	9000	440.13	3
102666	9500	440.13	3
102666	10000	444.09	2
102666	11000	450.49	2
102666	12000	450.49	2
102666	13000	450.49	2
102666	14000	458.42	3
102671	1000	309.98	1
102671	2000	        	-1
102671	3000	        	-1
102671	4000	        	-1
102671	5000	427.94	2
102671	6000	        	-1
102671	7000	449.28	2
102671	9000	454.76	2
102671	9500	454.76	2
102671	10000	458.42	2
102671	11000	466.34	2
102671	12000	466.34	2
102671	13000	466.34	2
102671	14000	480.06	1
102672	1000	340	1
102672	2000	        	-1
102672	3000	        	-1
102672	4000	        	-1
102672	5000	464.5	1
102672	6000	        	-1
102672	7000	485	2
102672	9000	491	3
102672	9500	491	3
102672	10000	497	2
102672	11000	504	2
102672	12000	504	2
102672	13000	504	2
102672	14000	517	2
102679	1000	311	1
102679	2000	        	-1
102679	3000	        	-1
102679	4000	        	-1
102679	5000	431	1
102679	6000	        	-1
102679	7000	453	1
102679	9000	460	3
102679	9500	460	3
102679	10000	464	2
102679	11000	469	1
102679	12000	469	1
102679	13000	469	1
102679	14000	498	1
102681	1000	317.5	1
102681	2000	        	-1
102681	3000	        	-1
102681	4000	        	-1
102681	5000	438	1
102681	6000	        	-1
102681	7000	464	1
102681	9000	466.5	3
102681	9500	466.5	3
102681	10000	470.5	2
102681	11000	476	2
102681	12000	476	2
102681	13000	476	2
102681	14000	497.5	3
102684	1000	308.5	1
102684	2000	        	-1
102684	3000	        	-1
102684	4000	        	-1
102684	5000	428	2
102684	6000	        	-1
102684	7000	450	1
102684	9000	456	2
102684	9500	456	2
102684	10000	461	1
102684	11000	466	3
102684	12000	466	3
102684	13000	466	3
102684	14000	489.5	2
102686	1000	340.5	1
102686	2000	        	-1
102686	3000	        	-1
102686	4000	        	-1
102686	5000	461.5	1
102686	6000	        	-1
102686	7000	483	1
102686	9000	488	3
102686	9500	488	3
102686	10000	494	2
102686	11000	500	3
102686	12000	500	3
102686	13000	500	3
102686	14000	508	1
102698	1000	338	1
102698	2000	        	-1
102698	3000	        	-1
102698	4000	        	-1
102698	5000	458	1
102698	6000	        	-1
102698	7000	481	1
102698	9000	488	2
102698	9500	488	2
102698	10000	492	1
102698	11000	499	2
102698	12000	499	2
102698	13000	499	2
102698	14000	538	1
