SitID	UWI (AGS)	UWI
102496	0674010812000	00/12-08-067-01W4/0
102497	0674020807000	00/07-08-067-02W4/0
102498	0674021109000	00/09-11-067-02W4/0
102500	0674022910000	00/10-29-067-02W4/0
102501	0674023406000	00/06-34-067-02W4/0
102503	0674030411000	00/11-04-067-03W4/0
102505	0674030810000	00/10-08-067-03W4/0
102507	0674031410000	00/10-14-067-03W4/0
102514	0674032810000	00/10-28-067-03W4/0
102517	0674033607000	00/07-36-067-03W4/0
102518	0674040210000	00/10-02-067-04W4/0
102565	0674040710000	00/10-07-067-04W4/0
102577	0674042411000	00/11-24-067-04W4/0
102581	0674043307000	00/07-33-067-04W4/0
102583	0674050313000	00/13-03-067-05W4/0
102589	0674051606000	00/06-16-067-05W4/0
102592	0674052507000	00/07-25-067-05W4/0
102596	0674053310000	00/10-33-067-05W4/0
102597	0674060115000	00/15-01-067-06W4/0
102606	0674061706000	00/06-17-067-06W4/0
141727	0674062307000	00/07-23-067-06W4/0
102609	0674062902000	00/02-29-067-06W4/0
102610	0674070511000	00/11-05-067-07W4/0
102611	0674071306000	00/06-13-067-07W4/0
102614	0674072503000	00/03-25-067-07W4/0
102615	0674072908000	00/08-29-067-07W4/0
102619	0674080310000	00/10-03-067-08W4/0
102620	0674081306000	00/06-13-067-08W4/0
141732	0674082910000	00/10-29-067-08W4/0
102626	0674083407000	00/07-34-067-08W4/0
163611	0674102706000	00/06-27-067-10W4/0
163612	0674103109000	00/09-31-067-10W4/0
102630	0674110603000	00/03-06-067-11W4/0
163614	0674113310000	00/10-33-067-11W4/0
141733	0674120207000	00/07-02-067-12W4/0
102633	0674120508000	00/08-05-067-12W4/0
102640	0674121306000	00/06-13-067-12W4/0
141734	0674122208002	00/08-22-067-12W4/2
102656	0674130311000	00/11-03-067-13W4/0
102661	0674131104000	00/04-11-067-13W4/0
102666	0674133410000	00/10-34-067-13W4/0
102671	0674133611000	00/11-36-067-13W4/0
102672	0674140306000	00/06-03-067-14W4/0
102679	0674140812000	00/12-08-067-14W4/0
102681	0674141011000	00/11-10-067-14W4/0
102684	0674141813000	00/13-18-067-14W4/0
102686	0674150208000	00/08-02-067-15W4/0
141736	0674150610000	00/10-06-067-15W4/0
102698	0674152211000	00/11-22-067-15W4/0
102702	0674153106000	00/06-31-067-15W4/0
102710	0674160707000	00/07-07-067-16W4/0
102714	0674161211000	00/11-12-067-16W4/0
102719	0674162003000	00/03-20-067-16W4/0
102743	0674163403000	00/03-34-067-16W4/0
102752	0674170810000	00/10-08-067-17W4/0
102754	0674171106000	00/06-11-067-17W4/0
102761	0674172013000	00/13-20-067-17W4/0
102774	0674173207000	00/07-32-067-17W4/0
102780	0674180314000	00/14-03-067-18W4/0
102785	0674181011000	00/11-10-067-18W4/0
102798	0674182608000	00/08-26-067-18W4/0
102802	0674183010000	00/10-30-067-18W4/0
103698	0684010811000	00/11-08-068-01W4/0
103699	0684020810000	00/10-08-068-02W4/0
103700	0684021109000	00/09-11-068-02W4/0
103703	0684022606000	00/06-26-068-02W4/0
103704	0684022911000	00/11-29-068-02W4/0
103707	0684030509000	00/09-05-068-03W4/0
103710	0684031306000	00/06-13-068-03W4/0
103711	0684031607000	00/07-16-068-03W4/0
103713	0684032810000	00/10-28-068-03W4/0
103715	0684040211000	00/11-02-068-04W4/0
103717	0684040906000	00/06-09-068-04W4/0
103723	0684042610000	00/10-26-068-04W4/0
103724	0684042906000	00/06-29-068-04W4/0
103729	0684050807000	00/07-08-068-05W4/0
103730	0684051207000	00/07-12-068-05W4/0
103732	0684051611000	00/11-16-068-05W4/0
103734	0684052615000	00/15-26-068-05W4/0
103738	0684060107000	00/07-01-068-06W4/0
103742	0684061507000	00/07-15-068-06W4/0
103744	0684061911000	00/11-19-068-06W4/0
103746	0684062707000	00/07-27-068-06W4/0
141799	0684070514000	00/14-05-068-07W4/0
141802	0684071812000	00/12-18-068-07W4/0
141803	0684072606000	00/06-26-068-07W4/0
141805	0684072905000	00/05-29-068-07W4/0
141807	0684080515000	00/15-05-068-08W4/0
141809	0684082116000	00/16-21-068-08W4/0
141810	0684082601000	00/01-26-068-08W4/0
141811	0684083013000	00/13-30-068-08W4/0
103748	0684091903000	00/03-19-068-09W4/0
103749	0684092807000	00/07-28-068-09W4/0
103751	0684102007000	00/07-20-068-10W4/0
103752	0684103607000	00/07-36-068-10W4/0
153250	0684110405000	00/05-04-068-11W4/0
103753	0684110913000	00/13-09-068-11W4/0
103756	0684112705000	00/05-27-068-11W4/0
103757	0684112711000	00/11-27-068-11W4/0
103759	0684113014000	00/14-30-068-11W4/0
103775	0684121803000	00/03-18-068-12W4/0
153251	0684122306000	00/06-23-068-12W4/0
103784	0684122911000	00/11-29-068-12W4/0
103787	0684123106000	00/06-31-068-12W4/0
103796	0684130310000	00/10-03-068-13W4/0
103809	0684131211000	00/11-12-068-13W4/0
103834	0684132710000	00/10-27-068-13W4/0
103852	0684133407000	00/07-34-068-13W4/0
103855	0684142211000	00/11-22-068-14W4/0
103857	0684142511000	00/11-25-068-14W4/0
103868	0684143407000	00/07-34-068-14W4/0
103875	0684153111000	00/11-31-068-15W4/0
103876	0684160111000	00/11-01-068-16W4/0
103880	0684161510000	00/10-15-068-16W4/0
103886	0684162907000	00/07-29-068-16W4/0
103888	0684163211000	00/11-32-068-16W4/0
103895	0684170711000	00/11-07-068-17W4/0
103896	0684171211000	00/11-12-068-17W4/0
103900	0684171812000	00/12-18-068-17W4/0
103903	0684173007000	00/07-30-068-17W4/0
103906	0684180311000	00/11-03-068-18W4/0
